Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Hole ID ,Reported Date (mm/dd/yyyy),Primary Interval Commodity ,Reporting Company ,Reporting Company ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,within 21 d?,Rank,Relevant asterisk/ footnote,New Rank,Notes
"Vivien, Mt Magnet, Tanami","748728, 748711, 749027","40179, 26595, 38971",Australia,Gold,"VVDD1031, GXRC0502, HRAC0090",12/19/2016,Gold,Ramelius Resources Limited,4353635,"Operating, Operating, Target Outline","Yes, Yes, No","Underground, In Pit, Surface","Definition, Extension, Exploration",RMS-ASX,0.3386,0.4538,>100,177.84,238.38,34.04%,FALSE,25,[2],4,Combined into a single row of data based on Chris G's advice as three results for the company came out on the same day (all in the top ten). 
North Bullfrog,735692,25256,USA,Gold,NB-16-314,11/29/2016,Gold,Corvus Gold Inc.,4349548,Prefeas/Scoping,Yes,Surface,Extension,KOR-TSX,0.4547,0.3733,>10 - 100,41.99,34.48,-17.92%,FALSE,601,,,
Georgia Lake,754376,39374,Canada,Lithium,CH16-01,12/22/2016,Lithium,Ultra Lithium Inc.,4355057,Reserves Development,No,Surface,Exploration,ULI-TVX,0.1268,0.1394,<10,6.08,6.68,9.92%,FALSE,128,,,
Goldstrike,705843,25278,USA,Gold,PGS104,10/6/2016,Gold,Pilot Gold Inc.,4303923,Target Outline,Yes,In Pit,Extension,LGD-TSX,0.5002,0.4798,>10 - 100,62.98,60.41,-4.08%,FALSE,366,,,
Big Springs,721133,25283,USA,Gold,AWVBC16-002,11/3/2016,Gold,Anova Metals Limited,4351607,Prefeas/Scoping,Yes,Surface,Extension,AWV-ASX,0.1112,0.1071,>10 - 100,49.56,48.05,-3.69%,FALSE,358,,,
Big Springs,736016,25283,USA,Gold,AWVBC16-006,11/30/2016,Gold,Anova Metals Limited,4351607,Prefeas/Scoping,Yes,Surface,Extension,AWV-ASX,0.112,0.0797,>10 - 100,50.25,36,-28.87%,FALSE,698,,,
Big Springs,742841,25283,USA,Gold,AWV16-061,12/7/2016,Gold,Anova Metals Limited,4351607,Prefeas/Scoping,Yes,Surface,Extension,AWV-ASX,0.1007,0.0689,>10 - 100,45.49,31.13,-31.57%,FALSE,711,,,
Clayton Northeast,753693,77443,USA,Lithium,CNE-16-03,12/21/2016,Lithium,Nevada Sunrise Gold Corporation,4352738,Target Outline,No,Surface,Exploration,NEV-TVX,0.1718,0.1855,<10,6.52,7.1,8.01%,FALSE,145,,,
Byro,716044,37923,Australia,Iron Ore,AHRC0085,10/19/2016,Iron Ore,Athena Resources Limited,4348255,Reserves Development,No,Surface,Metallurgical,AHN-ASX,0.0107,0.0116,<10,2.32,2.51,7.92%,FALSE,146,,,
Castle Mountain,705282,25452,USA,Gold,CMM-111,10/4/2016,Gold,NewCastle Gold Ltd.,4399786,Feasibility Started,Yes,In Pit,Extension,NCA-TSX,0.7616,0.7489,>100,122.17,120.13,-1.67%,FALSE,313,,,
Castle Mountain,741400,25452,USA,Gold,CMM-119,12/6/2016,Gold,NewCastle Gold Ltd.,4399786,Feasibility Started,Yes,In Pit,Extension,NCA-TSX,0.5433,0.503,>10 - 100,99.77,92.37,-7.41%,FALSE,431,,,
Later,715471,77674,Canada,Copper,DD16ELB007,10/17/2016,Gold,ML Gold Corporation,4348929,Exploration,No,Surface,Exploration,MLG-TVX,0.1179,0.1268,<10,5.5,5.91,7.57%,FALSE,152,,,
Port Hope Simpson,721794,38574,Canada,Lanthanides,FMCC-16-03,11/3/2016,Niobium,Search Minerals Inc.,4354075,Prefeas/Scoping,No,Surface,Extension,SMY-TVX,0.0448,0.0481,<10,6.45,6.99,7.45%,FALSE,153,,,
Plomosas,728010,70812,Mexico,Zinc,LV7037,11/15/2016,Zinc,Consolidated Zinc Limited,4352784,Target Outline,No,Underground,Definition,CZL-ASX,0.0199,0.0213,<10,8.74,9.37,7.16%,FALSE,156,,,
Wiluna,726046,25640,Australia,Gold,WURD0005,11/9/2016,Gold,Blackham Resources Limited,4242009,Satellite,Yes,In Pit,Extension,BLK-ASX,0.5324,0.3771,>100,151.69,107.78,-29.18%,FALSE,700,,,
Pulacayo-Paca,755993,27680,Bolivia,Silver,1912,12/23/2016,Silver,Apogee Opportunities Inc.,4348100,Feasibility Complete,No,Underground,Extension,APE-TVX,0.1113,0.118,<10,1,1.06,6.03%,FALSE,168,,,
Tanami,749027,38971,Australia,Gold,HRAC0090,12/19/2016,Gold,Ramelius Resources Limited,4353635,Target Outline,No,Surface,Exploration,RMS-ASX,0.3386,0.4538,>100,177.84,238.38,34.04%,FALSE,25,,,Combined into a single row of data based on Chris G's advice as three results for the company came out on the same day (all in the top ten). 
Karlawinda,751357,35901,Australia,Gold,KBRC603,12/20/2016,Gold,Capricorn Metals Ltd,4352012,Feasibility Started,No,Surface,Infill,CMM-ASX,0.066,0.0845,>10 - 100,20.82,41.13,27.92%,FALSE,37,,,
Wiluna,742892,25640,Australia,Gold,WURC0127,12/7/2016,Gold,Blackham Resources Limited,4242009,Satellite,Yes,In Pit,Extension,BLK-ASX,0.3766,0.3086,>100,107.64,88.19,-18.07%,FALSE,606,,,
Watershed,768969,57561,Australia,Tungsten,IVRC2016 018,12/29/2016,Gold,Vital Metals Limited,4355245,Feasibility Complete,No,Surface,Exploration,VML-ASX,0.0122,0.0129,<10,7.27,7.66,5.39%,FALSE,176,,,
Dawson Creek,716040,25660,USA,Gold,WG-16-35,10/18/2016,Gold,Zephyr Minerals Limited,4368091,Prefeas/Scoping,Yes,Underground,Extension,ZFR-TVX,0.2586,0.2388,<10,8.64,7.97,-7.69%,FALSE,437,,,
Ity,710710,25674,Cote d'Ivoire,Gold,CS16-085,10/13/2016,Gold,Endeavour Mining Corporation,4349981,Operating,Yes,Surface,Extension,EDV-TSX,16.4984,18.7845,>100,"1,539.04","1,753.57",13.86%,FALSE,92,,,
Waihi,745111,25679,New Zealand,Gold,807ER0999,12/12/2016,Gold,OceanaGold Corporation,4352997,Operating,Yes,Underground,Extension,OGC-TSX,2.7877,2.9149,>100,"1,703.35","1,781.05",4.56%,FALSE,191,,,
La Plata,719479,25748,Ecuador,Gold,CMLP-16-03,10/26/2016,Zinc,Toachi Mining Inc.,4350179,Prefeas/Scoping,Yes,Surface,Extension,TIM-TVX,0.3071,0.2746,>10 - 100,11.78,11.24,-10.57%,FALSE,480,,,
Kiena,728734,25795,Canada,Gold,6131A,11/15/2016,Gold,Wesdome Gold Mines Limited,4355310,Operating,Yes,Underground,Extension,WDO-TSX,1.7752,1.8639,>100,231.04,242.58,5.00%,FALSE,185,,,
Ladner,730450,25798,Canada,Gold,CM-004,11/17/2016,Gold,New Carolin Gold Corporation,4352749,Reserves Development,Yes,Surface,Extension,LAD-TVX,0.0521,0.0491,<10,8.46,7.96,-5.90%,FALSE,395,,,
Ladner,747959,25798,Canada,Gold,CM-009,12/15/2016,Gold,New Carolin Gold Corporation,4352749,Reserves Development,Yes,Surface,Extension,LAD-TVX,0.0496,0.0451,<10,8.05,7.61,-9.03%,FALSE,455,,,
Wawa,705255,25803,Canada,Gold,U1509L5,10/4/2016,Gold,Red Pine Exploration Inc.,4353694,Reserves Development,Yes,Surface,Exploration,RPX-TVX,0.1066,0.1161,>10 - 100,10.96,11.93,8.87%,FALSE,141,,,
Wawa,732546,25803,Canada,Gold,U1652L5,11/22/2016,Gold,Red Pine Exploration Inc.,4353694,Reserves Development,Yes,Surface,Definition,RPX-TVX,0.0746,0.0876,<10,7.87,9.23,17.35%,FALSE,79,,,
Wawa,743275,25803,Canada,Gold,U0706L5,12/7/2016,Gold,Augustine Ventures Inc.,4348286,Reserves Development,Yes,Surface,Extension,,NA,NA,NA,NA,NA,0.00%,FALSE,259,,,
Wawa,752969,25803,Canada,Gold,U0590L3,12/20/2016,Gold,Augustine Ventures Inc.,4348286,Reserves Development,Yes,Surface,Extension,,NA,NA,NA,NA,NA,0.00%,FALSE,259,,,
Bachelor Lake,705887,25871,Canada,Gold,14-140,10/6/2016,Gold,Metanor Resources Inc.,4352240,Operating,Yes,Underground,Definition,MTO-TVX,0.5305,0.5997,>10 - 100,23.14,26.16,13.05%,FALSE,102,,,
Aucu,731503,37914,Kyrgyzstan,Copper,ERC16-35,11/22/2016,Gold,White Cliff Minerals Limited,4355378,Reserves Development,No,Surface,Extension,WCN-ASX,0.0046,0.0047,<10,8.91,9.8,1.76%,FALSE,229,,,
Bachelor Lake,728832,25871,Canada,Gold,10-103,11/16/2016,Gold,Metanor Resources Inc.,4352240,Operating,Yes,Underground,Exploration,MTO-TVX,0.4453,0.4139,>10 - 100,19.42,18.16,-7.05%,FALSE,423,,,
Thor,728447,35675,Canada,Silver,Thor-177,11/14/2016,Silver,Taranis Resources Inc.,4354739,Reserves Development,No,Surface,Extension,TRO-TVX,0.0813,0.0827,<10,4.21,4.28,1.72%,FALSE,232,,,
Orenada,726983,25882,Canada,Gold,OAX-16-079,11/10/2016,Gold,Alexandria Minerals Corporation,4347896,Prefeas/Scoping,Yes,Surface,Extension,AZX-TVX,0.0446,0.0334,>10 - 100,37.17,29.67,-25.11%,FALSE,668,,,
Orenada,743432,25882,Canada,Gold,OAX-16-076,12/7/2016,Gold,Alexandria Minerals Corporation,4347896,Prefeas/Scoping,Yes,Surface,Extension,AZX-TVX,0.0376,0.0444,>10 - 100,13.03,19.32,17.96%,FALSE,77,,,
Bow,729034,51949,Canada,Gold,2016-BOW-5,11/17/2016,Cobalt,Decade Resources Ltd.,4349670,Target Outline,No,Surface,Extension,DEC-TVX,0.0335,0.034,<10,2.81,2.85,1.34%,FALSE,242,,,
Thor,716876,70385,Canada,Copper,TH16-01,10/20/2016,Copper,Copper North Mining Corporation,4349494,Target Outline,No,Surface,Exploration,COL-TVX,0.0845,0.0856,<10,2.11,2.14,1.24%,FALSE,244,,,
Urquhart,727474,76788,Australia,Bauxite,UPB16040,11/14/2016,Iron Ore,Metallica Minerals Limited,4352224,Reserves Development,No,Surface,Extension,MLM-ASX,0.0327,0.0331,<10,7.71,7.79,1.06%,FALSE,246,,,
Muddy Mountains,749121,77533,USA,Lithium,MM- 0090,12/19/2016,Lithium,Caeneus Minerals Limited,4352114,Exploration,No,Surface,Exploration,CAD-ASX,0.0015,0.0015,<10,5.24,6.15,0.53%,FALSE,250,,,
Premier,711563,25885,Canada,Gold,P16-1107,10/14/2016,Gold,Ascot Resources Ltd.,4348202,Reserves Development,Yes,In Pit,Extension,AOT-TVX,1.8121,1.606,>100,245.81,217.85,-11.37%,FALSE,501,,,
Kempfield,706333,30551,Australia,Silver,AKDD192,10/10/2016,Silver,Argent Minerals Limited,4348141,Feasibility Started,No,Surface,Extension,ARD-ASX,0.0189,0.019,<10,6.8,6.83,0.05%,FALSE,257,,,
Premier,728869,25885,Canada,Gold,P16-1179,11/16/2016,Gold,Ascot Resources Ltd.,4348202,Reserves Development,Yes,Surface,Extension,AOT-TVX,1.4547,1.3998,>100,197.32,189.87,-3.77%,FALSE,360,,,
Premier,733379,25885,Canada,Gold,P16-1205,11/23/2016,Gold,Ascot Resources Ltd.,4348202,Reserves Development,Yes,Surface,Extension,AOT-TVX,1.4833,1.4176,>100,201.2,192.29,-4.43%,FALSE,373,,,
Edie Creek,705461,29842,Papua New Guinea,Gold,EDD 019,10/5/2016,Gold,Niuminco Group Limited,4352830,Operating,No,Surface,Extension,NIU-ASX,0.0046,0.0046,<10,6.78,7.56,-0.24%,FALSE,279,,,
Premier,748767,25885,Canada,Gold,P16-1215,12/20/2016,Gold,Ascot Resources Ltd.,4348202,Reserves Development,Yes,Surface,Extension,AOT-TVX,1.3736,1.5287,>100,191.83,213.48,11.29%,FALSE,113,,,
Cariboo,716455,25889,Canada,Gold,BGM-16-514,10/19/2016,Gold,Barkerville Gold Mines Ltd.,4348461,Prefeas/Scoping,Yes,Surface,Extension,BGM-TVX,0.4797,0.4349,>100,145.3,131.71,-9.35%,FALSE,462,,,
Cariboo,728561,25889,Canada,Gold,BGM-16-529,11/15/2016,Gold,Barkerville Gold Mines Ltd.,4348461,Prefeas/Scoping,Yes,Surface,Exploration,BGM-TVX,0.3388,0.3471,>100,102.62,105.13,2.44%,FALSE,217,,,
Sino-Lao,728334,77134,Laos,Potash,RZK-01A,11/15/2016,Potash,FYI Resources Limited,4350303,Target Outline,No,Surface,Exploration,FYI-ASX,0.0346,0.0344,<10,3.07,3.05,-0.76%,FALSE,288,,,
Cariboo,747650,25889,Canada,Gold,BGM-16-553,12/15/2016,Gold,Barkerville Gold Mines Ltd.,4348461,Prefeas/Scoping,Yes,Surface,Extension,BGM-TVX,0.3245,0.3273,>10 - 100,98.27,106.49,0.87%,FALSE,247,,,
Island,709266,25912,Canada,Gold,620-517-44,10/12/2016,Gold,Richmont Mines Incorporated,4353796,Operating,Yes,Surface,Extension,RIC-TSX,8.4229,9.4014,>100,528.55,589.95,11.62%,FALSE,111,,,
Magino,740481,25921,Canada,Gold,MA16-RC-017,12/5/2016,Gold,Argonaut Gold Inc.,4348750,Prefeas/Scoping,Yes,In Pit,Extension,AR-TSX,1.9558,1.4499,>100,309.92,229.76,-25.86%,FALSE,675,,,
Seabee,724813,25944,Canada,Gold,SUG-16-920,11/7/2016,Gold,Silver Standard Resources Inc.,4354266,Operating,Yes,Underground,Extension,SSRM-TSX,11.4318,9.6359,>100,"1,364.37","1,150.54",-15.71%,FALSE,564,,,
Tartan Lake,743409,25954,Canada,Gold,TL16-01,12/7/2016,Gold,Satori Resources Inc.,4354042,Reserves Development,Yes,Underground,Extension,BUD-TVX,0.0828,0.0925,<10,1.46,1.63,11.70%,FALSE,110,,,
Lone Star,720147,25997,Canada,Gold,LS16-58,11/1/2016,Gold,Klondike Gold Corp.,4351641,Reserves Development,Yes,Surface,Extension,KG-TVX,0.1492,0.1157,<10,8.06,6.25,-22.47%,FALSE,641,,,
QV,749184,40921,Canada,Gold,16QVRAB032,12/19/2016,Gold,Comstock Metals Limited,4349408,Reserves Development,No,Surface,Extension,CSL-TVX,0.1272,0.1249,<10,7.19,7.06,-1.79%,FALSE,314,,,
Marshall Lake,745671,27138,Canada,Copper,ML-14,12/12/2016,Silver,Copper Lake Resources Ltd.,4355385,Reserves Development,No,Surface,Exploration,CPL-TVX,0.038,0.0373,<10,3.57,3.5,-1.86%,FALSE,315,,,
Snip,704470,25998,Canada,Gold,S-16-11,10/3/2016,Gold,Skeena Resources Limited,4354322,Target Outline,Yes,Surface,Extension,SKE-TVX,0.1142,0.0825,>10 - 100,59.49,42.99,-27.73%,FALSE,688,,,
Snip,720134,25998,Canada,Gold,S-16-16,11/1/2016,Gold,Skeena Resources Limited,4354322,Target Outline,Yes,Surface,Extension,SKE-TVX,0.0821,0.056,>10 - 100,42.68,29.54,-31.79%,FALSE,713,,,
Macassa,723440,26019,Canada,Gold,53-2921,11/7/2016,Gold,Kirkland Lake Gold Inc.,4351630,Operating,Yes,Underground,Extension,718513,6.9202,5.2102,>100,813.15,612.21,-24.71%,FALSE,663,,,"Kirkland Lake Gold Inc and Newmarket Gold Inc merged. For the original Kirkland Lake Inc result, the historcal funcing key was manually entered."
Thor,715635,35675,Canada,Silver,Thor-178,10/17/2016,Silver,Taranis Resources Inc.,4354739,Reserves Development,No,Surface,Extension,TRO-TVX,0.0836,0.082,<10,4.16,4.25,-1.92%,FALSE,319,,,
Lamaque,710892,26023,Canada,Gold,TM-16-130M03,10/13/2016,Gold,Integra Gold Corporation,4351248,Reserves Development,Yes,Underground,Extension,,NA,NA,NA,NA,NA,0.00%,FALSE,259,,,
Lamaque,726577,26023,Canada,Gold,TM-16-187,11/9/2016,Gold,Integra Gold Corporation,4351248,Prefeas/Scoping,Yes,Surface,Extension,,NA,NA,NA,NA,NA,0.00%,FALSE,259,,,
Lamaque,736179,26023,Canada,Gold,TM-16-151,11/29/2016,Gold,Integra Gold Corporation,4351248,Reserves Development,Yes,Surface,Extension,,NA,NA,NA,NA,NA,0.00%,FALSE,259,,,
Chanape-Pucacorral,744932,67278,Peru,Silver,247731,12/8/2016,Lead,BCGold Corporation,4348494,Exploration,No,Underground,Exploration,PAD-TVX,0.0377,0.0368,<10,2.31,2.26,-2.39%,FALSE,328,,,
Lingman Lake,744236,26025,Canada,Gold,87-54,12/8/2016,Gold,Signature Resources Limited,4365926,Reserves Development,Yes,Surface,Extension,SGU-TVX,0.0906,0.0921,<10,5.87,5.97,1.68%,FALSE,235,,,
Eastmain,705658,26108,Canada,Gold,EM16-H2,10/5/2016,Gold,Eastmain Resources Inc.,4349877,Reserves Development,Yes,Surface,Exploration,ER-TSX,0.5852,0.5992,>100,102.62,105.07,2.38%,FALSE,218,,,
Eastmain,727618,26108,Canada,Gold,EM16-76,11/14/2016,Gold,Eastmain Resources Inc.,4349877,Reserves Development,Yes,Surface,Extension,ER-TSX,0.4289,0.3686,>10 - 100,75.21,64.63,-14.06%,FALSE,540,,,
Ferensola,744493,50328,Sierra Leone,Iron Ore,SDD001,12/8/2016,Gold,Sula Iron & Gold Plc,4413344,Reserves Development,No,Surface,Extension,SULA-AIMLSE,0.0028,0.0027,<10,5.16,5.59,-3.04%,FALSE,343,,,
Karlawinda,747794,35901,Australia,Gold,KBRC025,12/16/2016,Gold,Capricorn Metals Ltd,4352012,Feasibility Started,No,Surface,Extension,CMM-ASX,0.0677,0.0808,>10 - 100,21.34,39.35,19.38%,FALSE,66,,,
Nachingwea,708142,34225,Tanzania,Copper,NRB16-0075,10/12/2016,Gold,Indiana Resources Limited,4351196,Target Outline,No,Surface,Exploration,IDA-ASX,0.0831,0.0804,<10,3.6,3.49,-3.15%,FALSE,345,,,
Cape Ray,723129,26112,Canada,Gold,CR_16_32,11/4/2016,Gold,Benton Resources Inc.,4348548,Prefeas/Scoping,Yes,Surface,Extension,BEX-TVX,0.0747,0.0519,<10,5.9,4.1,-30.53%,FALSE,709,,,
Edie Creek,742947,29842,Papua New Guinea,Gold,EDD 022,12/7/2016,Gold,Niuminco Group Limited,4352830,Operating,No,Surface,Extension,NIU-ASX,0.0037,0.0036,<10,6.15,5.92,-3.77%,FALSE,361,,,
Cape Ray,733761,26112,Canada,Gold,CR-16-52,11/24/2016,Gold,Benton Resources Inc.,4348548,Prefeas/Scoping,Yes,Surface,Extension,BEX-TVX,0.0555,0.0611,<10,4.39,4.82,9.97%,FALSE,127,,,
Greenwood,745816,26124,Canada,Gold,GD_CS1_12/13/2016,12/13/2016,Gold,Golden Dawn Minerals Inc.,4350570,Prefeas/Scoping,Yes,Surface,Exploration,GOM-TVX,0.2018,0.1752,>10 - 100,19.16,16.63,-13.19%,FALSE,527,,,
Mineral Ridge,744877,26150,USA,Gold,MR162081,12/8/2016,Gold,Scorpio Gold Corporation,4354064,Operating,Yes,In Pit,Extension,SGN-TVX,0.0528,0.0553,<10,6.6,6.9,4.59%,FALSE,190,,,
Hollister,717437,26158,USA,Gold,GLOR15-034,10/11/2016,Gold,Klondex Mines Ltd.,4351640,Reserves Development,Yes,Underground,Extension,KDX-TSX,4.8963,5.5133,>100,724.92,816.28,12.60%,FALSE,104,,,
Colomac,709066,26175,Canada,Gold,C16-03B,10/12/2016,Gold,Nighthawk Gold Corp.,4352812,Reserves Development,Yes,Surface,Extension,NHK-TSX,0.333,0.3811,>10 - 100,44.99,58.17,14.46%,FALSE,87,,,
