Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Reported Date (mm/dd/yyyy),Reporting Company ,Reporting Company ID ,Primary Interval Commodity ,Hole ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Interval Value (m-$/tonne) (Reported-meter/t),Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,Rank,Relevant asterisk/ footnote,New Rank,Notes
KSK,917781,38884,Indonesia,Copper,6/15/2017,Asiamet Resources Limited,4228843,Copper,BKM31800-07,Feasibility Started,Yes,Surface,Extension,"4,894.79",ARS-AIMLSE,0.056,0.058,>10 - 100,39.97,41.14,2.90%,244,,,
Glandore,938589,38094,Australia,Gold,6/29/2017,Southern Gold Limited,4354464,Gold,GLDD002,Target Outline,Yes,Surface,Extension,"2,849.17",SAU-ASX,0.24,0.234,>10 - 100,11.14,11.08,-2.40%,393,,,
Caballo Blanco,886637,32502,Mexico,Gold,4/24/2017,Candelaria Mining Corp.,4653068,Gold,12CBN-222,Prefeas/Scoping,Yes,Surface,Extension,"5,114.54",CAND-TVX,0.666,0.685,>10 - 100,57.84,59.5,2.90%,246,,,
Segilola,879019,36513,Nigeria,Gold,4/12/2017,Thor Explorations Limited,4354833,Gold,SGD051,Reserves Development,Yes,Surface,Extension,"4,245.42",THX-TVX,0.131,0.135,>10 - 100,37.38,38.43,2.80%,247,,,
Star Mountains,913686,38296,Papua New Guinea,Copper,6/8/2017,Highlands Pacific Limited,4351046,Copper,003FUN17,Target Outline,Yes,Surface,Extension,"3,849.30",HIG-ASX,0.042,0.043,>10 - 100,39.61,40.65,2.60%,252,,,
O'Brien,919969,26534,Canada,Gold,6/20/2017,Radisson Mining Resources Inc.,4353620,Gold,OB-17-29,Prefeas/Scoping,Yes,Surface,Extension,"3,731.78",RDS-TVX,0.121,0.124,>10 - 100,13.38,13.73,2.60%,253,,,
O'Brien,874711,26534,Canada,Gold,4/4/2017,Radisson Mining Resources Inc.,4353620,Gold,OB-17-23,Prefeas/Scoping,Yes,Surface,Extension,"1,510.48",RDS-TVX,0.112,0.115,>10 - 100,12.02,12.33,2.60%,254,,,
Owendale,917734,29478,Australia,Scandium,6/15/2017,Platina Resources Limited,4353375,Scandium,FKD17_532,Feasibility Started,Yes,Surface,Extension,"77,660.16",PGM-ASX,0.074,0.076,>10 - 100,19.53,20.02,2.50%,255,,,
Beatons Creek,916977,38640,Australia,Gold,6/14/2017,Novo Resources Corporation,4352943,Gold,BCC17-094,Prefeas/Scoping,No,Surface,Extension,410.411,NVO-TVX,0.65,0.635,>10 - 100,75.87,74.07,-2.40%,394,,,
Mandilla,918247,32712,Australia,Gold,6/19/2017,Anglo Australian Resources NL,4348058,Gold,MSRC001,Reserves Development,No,Surface,Exploration,525.494,AAR-ASX,0.03,0.03,<10,7.88,7.69,-2.80%,404,,,
Adyabo,886974,49996,Ethiopia,Gold,4/24/2017,East Africa Metals Inc.,4391198,Gold,ADD025,Reserves Development,No,Surface,Infill,"4,402.94",EAM-TVX,0.2,0.204,>10 - 100,27.94,29.29,2.10%,262,,,
Martiniere,913229,30724,Canada,Gold,6/7/2017,Balmoral Resources Ltd.,4348424,Gold,MDE-17-275,Target Outline,Yes,Surface,Extension,"2,539.52",BAR-TSX,0.512,0.523,>10 - 100,64.31,65.67,2.10%,264,,,
Wawa,896254,25803,Canada,Gold,5/4/2017,Red Pine Exploration Inc.,4353694,Gold,DG-17-56,Reserves Development,Yes,Surface,Extension,"7,955.79",RPX-TVX,0.073,0.074,>10 - 100,19.1,19.64,1.90%,268,,,
Karankasso,896803,49877,Burkina Faso,Gold,5/4/2017,Savary Gold Corp.,4365625,Gold,HE-RC-17-085,Reserves Development,Yes,Surface,Exploration,"2,176.87",SCA-TVX,0.058,0.06,>10 - 100,10.6,10.81,1.90%,269,,,
KSK,913806,38884,Indonesia,Copper,6/9/2017,Asiamet Resources Limited,4228843,Zinc,AS_CS_6.9.2017,Feasibility Started,Yes,Surface,Extension,"12,146.60",ARS-AIMLSE,0.059,0.06,>10 - 100,41.92,42.74,1.90%,270,,,
Pardo,912599,53669,Canada,Gold,6/6/2017,Inventus Mining Corp.,4350448,Gold,PD-17-59,Target Outline,No,Surface,Extension,"1,213.25",IVS-TVX,0.119,0.121,>10 - 100,11.89,12.12,1.90%,272,,,
Sandstone,919418,77382,Australia,Gold,6/20/2017,Alto Metals Limited,4379674,Gold,SAC115,Reserves Development,Yes,Surface,Extension,"2,235.68",AME-ASX,0.052,0.05,<10,7.85,7.61,-3.00%,410,,,
Nakru,885291,29506,Papua New Guinea,Copper,4/19/2017,Coppermoly Limited,4358392,Gold,NAK11607,Reserves Development,No,Surface,Infill,"3,194.08",COY-ASX,0.017,0.018,>10 - 100,18.97,19.32,1.90%,274,,,
Martiniere,895491,30724,Canada,Gold,5/3/2017,Balmoral Resources Ltd.,4348424,Gold,MDE-17-271,Target Outline,Yes,Surface,Extension,"5,318.35",BAR-TSX,0.51,0.519,>10 - 100,63.98,65.17,1.80%,276,,,
Lake Roe,908488,76396,Australia,Gold,5/30/2017,Breaker Resources NL,4357258,Gold,BBRC0329,Target Outline,Yes,Surface,Infill,"20,292.48",BRB-ASX,0.514,0.498,>10 - 100,67.2,65.84,-3.10%,411,,,
Rouyn,897431,25870,Canada,Gold,5/8/2017,Yorbeau Resources Inc.,4355532,Gold,12-GA-579-W1B,Reserves Development,Yes,Underground,Extension,"2,310.15",YRB-TSX,0.058,0.059,>10 - 100,17.13,17.43,1.70%,279,,,
North Bullfrog,874328,25256,USA,Gold,4/4/2017,Corvus Gold Inc.,4349548,Gold,NB-17-431,Prefeas/Scoping,Yes,Surface,Extension,"2,085.83",KOR-TSX,0.635,0.645,>10 - 100,58.62,59.56,1.60%,282,,,
Lac la Hache,878499,31535,Canada,Copper,4/10/2017,Engold Mines Ltd.,4350900,Copper,G17-03,Reserves Development,Yes,Surface,Extension,"2,153.64",EGM-TVX,0.403,0.41,>10 - 100,72.6,74.69,1.60%,283,,,
Walford Creek,916293,28375,Australia,Copper,6/13/2017,Aeon Metals Limited,4347805,Cobalt,WFDD226,Prefeas/Scoping,Yes,Surface,Extension,"5,055.13",AML-ASX,0.109,0.111,>10 - 100,37.98,38.58,1.60%,285,,,
Quinns,898311,26608,Australia,Gold,5/9/2017,Latitude Consolidated Limited,4351250,Gold,17LCRC030,Reserves Development,Yes,Surface,Extension,"2,002.13",LCD-ASX,0.018,0.018,<10,2.42,2.34,-3.30%,416,,,
Kainantu,918376,31239,Papua New Guinea,Gold,6/19/2017,K92 Mining Inc.,4494844,Gold,GCDD0071,Operating,No,Underground,Mine Planning,"10,019.97",KNT-TVX,0.582,0.589,>10 - 100,79.11,92.39,1.40%,292,,,
Jaurdi,905314,78421,Australia,Gold,5/22/2017,Beacon Minerals Limited,4348499,Gold,JD17C163,Reserves Development,No,Surface,Infill,"3,554.07",BCN-ASX,0.015,0.015,>10 - 100,24.49,23.65,-3.40%,418,,,
Giro,901625,50785,Dem. Rep. Congo,Gold,5/17/2017,Amani Gold Limited,4348798,Gold,GRRC230,Target Outline,No,Surface,Infill,"6,013.99",ANL-ASX,0.027,0.028,>10 - 100,34.58,34.98,1.20%,296,,,
Yellowknife City,894850,28788,Canada,Gold,5/2/2017,TerraX Minerals Inc.,4366758,Gold,TSO17-019,Reserves Development,No,Surface,Extension,"1,122.24",TXR-TVX,0.439,0.443,>10 - 100,44.95,45.34,0.90%,302,,,
Fraser Range,897481,67493,Australia,Nickel,5/9/2017,Legend Mining Limited,4351790,Nickel,RKAC068,Target Outline,No,Surface,Extension,653.531,LEG-ASX,0.009,0.009,>10 - 100,18.12,18.26,0.80%,304,,,
Red Mountain,905514,27452,Canada,Gold,5/23/2017,IDM Mining Ltd.,4353777,Gold,U17-1233,Feasibility Started,No,Underground,Infill,"9,990.50",IDM-TVX,0.107,0.108,>10 - 100,38.41,38.7,0.80%,306,,,
Graphmada,880765,66638,Madagascar,Graphite,4/12/2017,Bass Metals Limited,4348478,Graphite,BSMD038,Operating,Yes,Surface,Extension,"1,342.00",BSM-ASX,0.009,0.009,>10 - 100,12.28,12.34,0.50%,311,,,
El Cobre,938997,49876,Mexico,Copper,6/29/2017,Almadex Minerals Limited,4605234,Gold,EC-17-025,Target Outline,Yes,Surface,Extension,"6,262.36",AMZ-TVX,0.743,0.747,>10 - 100,35.62,35.8,0.50%,312,,,
Bougouni,896294,78022,Mali,Lithium,5/3/2017,Kodal Minerals Plc,4533605,Lithium,KLRC015,Target Outline,Yes,Surface,Extension,"1,872.00",KOD-AIMLSE,0.004,0.004,>10 - 100,22.27,25.98,0.50%,313,,,
Guiro,907839,28900,Burkina Faso,Gold,5/25/2017,Komet Resources Inc.,4351661,Gold,Gs2017dd02,Operating,No,Surface,Extension,220.175,KMT-TVX,0.286,0.288,>10 - 100,18.96,19.04,0.40%,315,,,
Valentine Lake,879499,28192,Canada,Gold,4/13/2017,Marathon Gold Corporation,4352057,Gold,MA-17-174,Reserves Development,Yes,Surface,Extension,"4,154.53",MOZ-TSX,0.829,0.832,>10 - 100,99.24,100.5,0.30%,316,,,
Dandoko,936574,50800,Mali,Gold,6/21/2017,Oklo Resources Limited,4353029,Gold,DDSEK17-004,Target Outline,No,Surface,Infill,"3,130.11",OKU-ASX,0.167,0.167,>10 - 100,50.38,50.54,0.30%,317,,,
Graphmada,928168,66638,Madagascar,Graphite,6/21/2017,Bass Metals Limited,4348478,Graphite,BSMD041,Operating,No,Surface,Extension,159.315,BSM-ASX,0.008,0.008,>10 - 100,10.38,10.41,0.30%,319,,,
Promontorio,874109,34971,Mexico,Silver,4/3/2017,Kootenay Silver Inc.,4351665,Silver,LN-68-16,Reserves Development,No,Surface,Infill,"5,184.44",KTN-TVX,0.225,0.226,>10 - 100,39.3,39.42,0.30%,321,,,
Georgia Lake,938241,39374,Canada,Lithium,6/29/2017,Rock Tech Lithium Inc.,4353856,Lithium,PL-17-03,Reserves Development,Yes,Surface,Exploration,"1,782.45",RCK-TVX,0.697,0.699,>10 - 100,18.85,18.91,0.30%,322,,,
Nakru,899070,29506,Papua New Guinea,Copper,5/12/2017,Coppermoly Limited,4358392,Gold,NAK11607,Reserves Development,Yes,Surface,Extension,"10,907.17",COY-ASX,0.016,0.016,>10 - 100,17.73,17.77,0.20%,323,,,
WAMA,944380,79091,Guinea,Gold,4/18/2017,Volcanic Gold Mines Inc.,4355252,Gold,FKRC071,Exploration,Yes,Surface,Exploration,"30,653.88",VG-TVX,0.452,0.452,>10 - 100,20.71,20.72,0.00%,326,,,
Murchison,885575,26727,Australia,Gold,4/20/2017,Musgrave Minerals Limited,4352640,Gold,17MORC044,Operating,No,Surface,Infill,"8,529.78",MGV-ASX,0.07,0.067,>10 - 100,12.57,12.11,-3.60%,425,,,
Rowan Lake,887237,33876,Canada,Gold,4/26/2017,West Red Lake Gold Mines Inc.,4355324,Gold,RLG-17-45,Reserves Development,Yes,Surface,Extension,"9,212.66",RLG-CNQ,0.162,0.162,>10 - 100,17.38,17.38,0.00%,328,,,
May Mac,888040,39281,Canada,Gold,4/26/2017,Golden Dawn Minerals Inc.,4350570,Lead,MU17-14,Target Outline,No,Underground,Extension,"1,307.07",GOM-TVX,0.209,0.209,>10 - 100,21.34,22.37,0.00%,329,,,
Mandiana-Magana,913773,40075,Guinea,Gold,6/8/2017,Volcanic Gold Mines Inc.,4355252,Gold,RCY37,Reserves Development,Yes,Surface,Extension,"7,598.96",VG-TVX,0.437,0.437,>10 - 100,20.02,20,-0.10%,330,,,
Dabia South,894662,50382,Mali,Gold,5/2/2017,Komet Resources Inc.,4351661,Gold,Km2017rc12,Target Outline,Yes,Surface,Extension,"5,298.95",KMT-TVX,0.282,0.281,>10 - 100,18.66,18.58,-0.40%,332,,,
Tijirit,913222,29012,Mauritania,Gold,6/7/2017,Algold Resources Limited,4361599,Gold,AS_CS_6.7.2017,Reserves Development,No,In Pit,Exploration,"3,037.89",ALG-TVX,0.149,0.148,>10 - 100,24.84,24.73,-0.40%,333,,,
La Victoria,916434,64251,Peru,Gold,6/13/2017,Eloro Resources Ltd.,4349937,Gold,C001541,Target Outline,No,Surface,Extension,640.877,ELO-TVX,0.588,0.585,>10 - 100,18.53,18.45,-0.50%,334,,,
Piedmont,904333,78645,USA,Lithium,5/23/2017,WCP Resources Limited,4355295,Lithium,17-BD-27,Target Outline,Yes,Surface,Extension,"1,606.22",PLL-ASX,0.06,0.059,>10 - 100,27.19,27.01,-0.70%,345,,,
Vizcachitas,941607,28086,Chile,Copper,6/30/2017,Los Andes Copper Ltd.,4362246,Copper,V2017-01A,Prefeas/Scoping,Yes,Surface,Extension,"10,475.92",LA-TVX,0.192,0.191,>10 - 100,47.12,46.81,-0.70%,346,,,
Kun-Manie,938272,34218,Russia,Nickel,6/26/2017,Amur Minerals Corporation,4348026,Nickel,C346,Feasibility Started,No,Surface,Infill,"1,361.58",AMC-AIMLSE,0.079,0.078,>10 - 100,48.29,47.94,-0.70%,349,,,
Pahtavaara,929785,28700,Finland,Gold,6/26/2017,Rupert Resources Limited,4353936,Gold,117334,Operating,Yes,Underground,Extension,"6,184.09",RUP-TVX,0.867,0.86,>10 - 100,87.69,86.98,-0.80%,350,,,
Oyut Ulaan,938244,49926,Mongolia,Copper,6/28/2017,Xanadu Mines Limited,4355444,Gold,OUDDH087,Target Outline,Yes,Surface,Extension,"12,186.14",XAM-ASX,0.148,0.147,>10 - 100,75.77,75.09,-0.90%,352,,,
Golden Highway,909337,29163,Canada,Gold,5/30/2017,Moneta Porcupine Mines Inc.,4352553,Gold,MGH17-030,Prefeas/Scoping,Yes,Surface,Extension,"3,020.96",ME-TSX,0.134,0.133,>10 - 100,32.02,31.68,-1.10%,356,,,
Grassy Mountain,874147,26860,USA,Gold,4/3/2017,Paramount Gold Nevada Corporation,4586891,Gold,GM16-5 618,Prefeas/Scoping,Yes,Surface,Extension,"12,787.36",PZG-US,1.67,1.65,>10 - 100,29.69,29.34,-1.20%,360,,,
Niangouela,886152,78267,Burkina Faso,Gold,4/5/2017,Nexus Gold Corp.,4356148,Gold,NGL-17-DD-008,Target Outline,Yes,Underground,Exploration,"5,752.52",NXS-TVX,0.179,0.176,>10 - 100,22.29,22,-1.30%,362,,,
Gedabek,897305,34913,Azerbaijan,Gold,5/8/2017,Anglo Asian Mining Plc,4348057,Gold,UGDD08,Operating,Yes,Surface,Extension,"8,786.32",AAZ-AIMLSE,0.224,0.221,>10 - 100,25.19,24.86,-1.30%,363,,,
Thalanga,901864,25699,Australia,Zinc,5/17/2017,Red River Resources Limited,4353695,Zinc,TH716,Preproduction,No,Surface,Infill,"3,606.11",RVR-ASX,0.145,0.143,>10 - 100,68.44,67.46,-1.40%,367,,,
Jervois,940053,27710,Australia,Copper,6/30/2017,KGL Resources Limited,4351571,Copper,KJCD210,Prefeas/Scoping,No,Surface,Infill,"1,482.48",KGL-ASX,0.234,0.231,>10 - 100,43.27,42.64,-1.40%,368,,,
Walford Creek,911152,28375,Australia,Copper,6/5/2017,Aeon Metals Limited,4347805,Cobalt,WFDD225,Prefeas/Scoping,Yes,Surface,Extension,"10,595.31",AML-ASX,0.115,0.114,>10 - 100,40.12,39.5,-1.50%,370,,,
Botswana,916084,38696,Botswana,Copper,6/13/2017,MOD Resources Limited,4352535,Copper,T3_GEOTECH_7,Prefeas/Scoping,No,Surface,Geotechnical,"6,574.47",MOD-ASX,0.048,0.047,>10 - 100,89.64,89.6,-1.60%,372,,,
Pine Point,911142,26769,Canada,Zinc,6/2/2017,Darnley Bay Resources Limited,4349650,Zinc,W85-17-DBL-002,Prefeas/Scoping,Yes,Surface,Extension,"13,395.54",ZINC-TVX,0.208,0.204,>10 - 100,29.29,29.02,-1.70%,373,,,
Grassy Mountain,901985,26860,USA,Gold,5/17/2017,Paramount Gold Nevada Corporation,4586891,Gold,GM17-10_RC,Prefeas/Scoping,Yes,Underground,Definition,"23,229.60",PZG-US,1.6,1.57,>10 - 100,28.45,27.91,-1.90%,376,,,
Wawa,916355,25803,Canada,Gold,6/13/2017,Red Pine Exploration Inc.,4353694,Gold,SD-17-73,Reserves Development,Yes,Surface,Extension,"2,528.47",RPX-TVX,0.071,0.069,>10 - 100,18.67,18.3,-2.00%,380,,,
Madsen,891057,28195,Canada,Gold,4/27/2017,Pure Gold Mining Inc.,4351773,Gold,PG17-307,Prefeas/Scoping,Yes,Surface,Extension,"11,288.41",PGM-TVX,0.428,0.419,>10 - 100,81.91,80.28,-2.00%,381,,,
Silver Sand,888782,78800,Bolivia,Silver,4/10/2017,New Pacific Metals Corp.,4352770,Silver,ZK6601,Target Outline,Yes,Surface,Exploration,"27,733.53",NUAG-TVX,0.784,0.768,>10 - 100,52.48,51.4,-2.00%,382,,,
Argor,877418,38730,Canada,Niobium,4/10/2017,Niobay Metals Inc.,4352155,Niobium,1966-10,Reserves Development,Yes,Surface,Exploration,"20,619.72",NBY-TVX,0.56,0.548,>10 - 100,18.36,17.98,-2.00%,383,,,
Pine Point,895646,26769,Canada,Zinc,5/3/2017,Darnley Bay Resources Limited,4349650,Zinc,W85-17-DBL-001,Prefeas/Scoping,Yes,Surface,Metallurgical,"16,263.58",ZINC-TVX,0.186,0.182,>10 - 100,23.33,22.83,-2.10%,384,,,
Barry United,917187,26549,Canada,Gold,6/8/2017,Metanor Resources Inc.,4352240,Gold,MB-17-61,Prefeas/Scoping,Yes,Surface,Extension,"2,555.55",MTO-TVX,0.689,0.674,>10 - 100,52.35,51.22,-2.20%,385,,,
Orivesi,909750,27838,Finland,Gold,5/31/2017,Dragon Mining Limited,4349799,Gold,KU-1579,Operating,Yes,Surface,Extension,"26,311.30",DRA-ASX,0.194,0.19,>10 - 100,17.22,16.85,-2.20%,386,,,
Restdown,889766,38147,Australia,Gold,4/26/2017,Helix Resources Limited,4350997,Gold,HRDD003,Reserves Development,Yes,Surface,Extension,"4,188.76",HLX-ASX,0.036,0.035,>10 - 100,12.87,12.38,-3.80%,428,,,
Stawell Corridor,886134,67094,Australia,Gold,4/24/2017,Navarre Minerals Limited,4352703,Gold,RD002,Target Outline,No,Surface,Extension,995.141,NML-ASX,0.03,0.029,<10,5.23,5.02,-4.20%,432,,,
Caete,921460,29904,Brazil,Gold,6/21/2017,Jaguar Mining Inc.,4210540,Gold,FPCH001,Operating,No,Surface,Extension,196.172,JAG-TSX,0.301,0.294,>10 - 100,97.94,95.62,-2.40%,392,,,
Suplejack,913633,33823,Australia,Gold,6/8/2017,ABM Resources NL,4347760,Gold,SSRC100008,Reserves Development,Yes,Surface,Extension,"12,883.51",ABU-ASX,0.072,0.069,>10 - 100,26.82,25.62,-4.50%,439,,,
Ulysses,878832,76171,Australia,Gold,4/12/2017,Genesis Minerals Limited,4350380,Gold,17USAC375,Limited Production,Yes,Surface,Extension,"1,806.64",GMD-ASX,0.015,0.014,>10 - 100,11.02,10.53,-4.50%,441,,,
Ravensthorpe,908094,70582,Australia,Lithium,5/26/2017,Lithium Australia NL,4352280,Tantalum,CC011,Exploration,No,Surface,Exploration,798.287,LIT-ASX,0.075,0.073,>10 - 100,22.21,21.21,-2.40%,395,,,
Giro,895806,50785,Dem. Rep. Congo,Gold,5/4/2017,Amani Gold Limited,4348798,Gold,GRRC228,Target Outline,Yes,Surface,Extension,"5,546.86",ANL-ASX,0.03,0.029,>10 - 100,37.52,36.6,-2.40%,397,,,
Bougouni,891042,78022,Mali,Lithium,4/26/2017,Kodal Minerals Plc,4533605,Lithium,MDRC008,Target Outline,Yes,Surface,Extension,"1,815.00",KOD-AIMLSE,0.004,0.004,>10 - 100,20.72,23.43,-2.60%,399,,,
KSK,896677,38884,Indonesia,Copper,5/4/2017,Asiamet Resources Limited,4228843,Copper,BKM32400-10,Feasibility Started,No,Surface,Infill,"2,375.22",ARS-AIMLSE,0.067,0.065,>10 - 100,47.41,46.5,-2.70%,400,,,
Gladiator,901262,38121,Canada,Gold,5/16/2017,Bonterra Resources Inc.,4348659,Gold,BA-17-04,Reserves Development,Yes,Surface,Extension,"1,692.42",BTR-TVX,0.373,0.363,>10 - 100,60.31,58.66,-2.70%,403,,,
North Bullfrog,913794,25256,USA,Gold,6/8/2017,Corvus Gold Inc.,4349548,Gold,NB-17-443,Prefeas/Scoping,No,Surface,Extension,823.592,KOR-TSX,0.6,0.582,>10 - 100,55.42,53.76,-3.00%,406,,,
Orenada,916465,25882,Canada,Gold,6/13/2017,Alexandria Minerals Corporation,4347896,Gold,OAX-17-096,Prefeas/Scoping,Yes,Surface,Extension,"2,675.47",AZX-TVX,0.06,0.058,>10 - 100,28.24,27.4,-3.00%,407,,,
Mt Carrington,908586,26598,Australia,Gold,5/30/2017,White Rock Minerals Limited,4367762,Silver,LHDM002,Feasibility Started,No,Surface,Metallurgical,"4,061.12",WRM-ASX,0.011,0.011,<10,9.72,9.26,-4.70%,446,,,
Eleonore South,908919,36725,Canada,Gold,5/30/2017,Azimut Exploration Inc.,4348377,Gold,ES17-70,Target Outline,No,Surface,Exploration,839.016,AZM-TVX,0.234,0.227,>10 - 100,10.66,10.33,-3.10%,412,,,
Copperstone,896169,54116,Sweden,Copper,5/3/2017,Copperstone Resources AB,4351666,Zinc,COS 17353,Reserves Development,Yes,Surface,Extension,"5,338.24",COPPB-OME,0.165,0.16,>10 - 100,37.43,36.25,-3.20%,413,,,
Fenelon,881925,29570,Canada,Gold,4/18/2017,Wallbridge Mining Company Limited,4355273,Gold,FA-17-07,Prefeas/Scoping,Yes,Surface,Extension,"44,531.88",WM-TSX,0.072,0.069,>10 - 100,15.87,16.13,-3.20%,414,,,
Warrego North,918258,54697,Australia,Copper,6/16/2017,Chalice Gold Mines Limited,4349069,Copper,WND17-001,Target Outline,No,Surface,Exploration,"1,111.93",CHN-ASX,0.118,0.114,>10 - 100,30.71,29.7,-3.30%,417,,,
Lefroy,902999,78536,Australia,Gold,5/19/2017,Lefroy Exploration Limited,4747156,Gold,LEFR006,Target Outline,No,Surface,Exploration,643.545,LEX-ASX,0.119,0.113,<10,7.66,7.29,-4.90%,448,,,
Cheechoo,898511,41915,Canada,Gold,5/9/2017,Sirios Resources Inc.,4354308,Gold,CH17-095,Target Outline,Yes,Surface,Extension,"5,784.25",SOI-TVX,0.274,0.264,>10 - 100,32.85,31.74,-3.50%,420,,,
Wawa,917843,25803,Canada,Gold,6/15/2017,Red Pine Exploration Inc.,4353694,Gold,PH-17-70,Reserves Development,No,Surface,Extension,398.027,RPX-TVX,0.076,0.073,>10 - 100,19.99,19.29,-3.50%,421,,,
Red Mountain,920423,27452,Canada,Gold,6/8/2017,IDM Mining Ltd.,4353777,Gold,U17-1248,Feasibility Started,Yes,Underground,Extension,"3,090.28",IDM-TVX,0.111,0.107,>10 - 100,39.86,38.5,-3.50%,422,,,
Four Eagles,920240,38888,Australia,Gold,6/20/2017,Catalyst Metals Limited,4348992,Gold,FERC158,Target Outline,Yes,Surface,Exploration,"8,416.81",CYL-ASX,0.384,0.365,>10 - 100,22.81,21.66,-5.00%,451,,,
Cobar Superbasin,901934,70659,Australia,Copper,4/11/2017,Peel Mining Limited,4353270,Copper,WLRCDD043_RC,Target Outline,Yes,Surface,Extension,"4,621.65",PEX-ASX,0.18,0.173,>10 - 100,30.11,28.99,-3.70%,426,,,
Araguaia,909901,36147,Brazil,Nickel,5/31/2017,Horizonte Minerals Plc,4351090,Nickel,PCA_DD_1807E,Construction Planned,Yes,Surface,Extension,"3,701.42",HZM-AIMLSE,0.034,0.033,>10 - 100,39.94,38.44,-3.80%,427,,,
Murchison,913922,26727,Australia,Gold,6/13/2017,Musgrave Minerals Limited,4352640,Gold,17MORC062,Operating,No,Surface,Extension,"2,441.31",MGV-ASX,0.056,0.054,>10 - 100,12.43,11.78,-5.20%,455,,,
San Jose,878811,77559,Spain,Lithium,4/12/2017,Plymouth Minerals Limited,4353394,Lithium,MSJ-DD-0010,Reserves Development,Yes,Surface,Exploration,"4,864.00",PLH-ASX,0.172,0.165,>10 - 100,23.7,22.79,-3.80%,429,,,
Tireo,912218,33600,Dominican Republic,Gold,6/6/2017,GoldQuest Mining Corporation,4350623,Gold,TIR-17-28,Prefeas/Scoping,Yes,Surface,Extension,"3,026.71",GQC-TVX,0.308,0.295,>10 - 100,78.08,74.77,-4.20%,434,,,
Junior Lake,901936,31810,Canada,Nickel,5/17/2017,Landore Resources Limited,4351749,Gold,416-561,Prefeas/Scoping,Yes,Surface,Extension,"1,623.18",LND-AIMLSE,0.039,0.038,>10 - 100,30.95,29.62,-4.30%,435,,,
Adyabo,908291,49996,Ethiopia,Gold,5/29/2017,East Africa Metals Inc.,4391198,Gold,WMD085,Reserves Development,No,Surface,Infill,"7,217.02",EAM-TVX,0.186,0.177,>10 - 100,27.45,26.13,-4.50%,437,,,
Harvest,908303,38358,Ethiopia,Gold,5/29/2017,East Africa Metals Inc.,4391198,Gold,LD001,Reserves Development,No,Surface,Exploration,832.668,EAM-TVX,0.186,0.177,>10 - 100,27.45,26.13,-4.50%,437,,,
Murchison,917950,26727,Australia,Gold,6/16/2017,Musgrave Minerals Limited,4352640,Gold,17MORC074,Operating,Yes,Surface,Extension,"1,353.93",MGV-ASX,0.057,0.054,>10 - 100,12.52,11.84,-5.40%,464,,,
Challenger,936640,29378,Australia,Gold,6/29/2017,WPG Resources Limited,4282806,Gold,17CUD2090,Operating,No,Underground,Extension,791.061,WPG-ASX,0.03,0.029,>10 - 100,27.62,25.9,-6.20%,484,,,
Caribou,910000,78964,Canada,Copper,5/30/2017,Yorbeau Resources Inc.,4355532,Copper,DDH CAR-30E,Target Outline,No,Surface,Exploration,552.646,YRB-TSX,0.06,0.057,>10 - 100,17.46,17.33,-4.60%,445,,,
Opuwo,913706,78548,Namibia,Cobalt,6/8/2017,Celsius Resources Limited,4355222,Cobalt,DOFR22,Target Outline,No,Surface,Exploration,834.45,CLA-ASX,0.026,0.025,>10 - 100,12.08,11.55,-4.90%,449,,,
Val-d’Or East,901450,26273,Canada,Gold,5/16/2017,Probe Metals Inc.,4582557,Gold,PC-17-124,Reserves Development,No,Surface,Extension,"3,919.63",PRB-TVX,1.069,1.015,>10 - 100,99.61,94.74,-5.00%,450,,,
Deflector,887207,28512,Australia,Gold,4/26/2017,Doray Minerals Limited,4349786,Gold,KSRC002,Operating,Yes,Surface,Extension,"1,568.87",DRM-ASX,0.246,0.23,>10 - 100,87.81,82.27,-6.30%,487,,,
Pine,892858,34239,Canada,Copper,5/1/2017,Callinex Mines Inc.,4348845,Copper,PBM-024,Advanced Exploration,No,Surface,Extension,435.476,CNX-TVX,0.245,0.233,>10 - 100,18.98,18.02,-5.00%,452,,,
Yandal,905553,34262,Australia,Gold,5/24/2017,Echo Resources Limited,4349883,Gold,EWAC0116,Feasibility Complete,Yes,Surface,Extension,"5,295.56",EAR-ASX,0.105,0.098,>10 - 100,38.86,36.31,-6.60%,491,,,
Kainantu,902145,31239,Papua New Guinea,Gold,5/17/2017,K92 Mining Inc.,4494844,Gold,GCDD0046,Operating,No,Underground,Mine Planning,"10,131.08",KNT-TVX,0.698,0.661,>10 - 100,94.53,89.91,-5.30%,458,,,
El Cobre,918490,49876,Mexico,Copper,6/19/2017,Almadex Minerals Limited,4605234,Gold,EC-17-021,Target Outline,Yes,Surface,Extension,"6,828.60",AMZ-TVX,0.77,0.729,>10 - 100,36.94,34.96,-5.40%,462,,,
Forrest,913120,76808,Australia,Copper,6/6/2017,Auris Minerals Limited,4353757,Copper,AM_AC_6.6.2017,Target Outline,Yes,Surface,Exploration,"1,600.55",AUR-ASX,0.045,0.042,>10 - 100,15.9,15.05,-5.40%,463,,,
