propertyName,intervalIdent,countryName,holeID,reportDate,reportingComp,stage,significantInterval,surfaceUnder,purpose,exchg,date1,date20,marketCapRange,marketCap1,marketCap20,within21,Rank,gainPercent,change
Railroad-Pinion,813414,USA,PIN16-04,2/9/2017,Gold Standard Ventures Corporation,Reserves Development,Yes,Surface,Extension,GSV-TVX,2.87,2.56,>100,635.93,570.6,FALSE,565,-10,decrease
Fire Creek,847774,USA,FCC-0068,2/24/2017,Klondex Mines Ltd.,Operating,Yes,Surface,Extension,KDX-TSX,5.72,5.09,>100,1003.04,892.31,FALSE,573,-11,decrease
Red Lake,838766,Canada,D13892,2/15/2017,Goldcorp Incorporated,Operating,Yes,Underground,Extension,GG-US,16.62,14.73,>100,14190.35,12576.65,FALSE,580,-11,decrease
Penasquito,839618,Mexico,GPI-270-16,2/15/2017,Goldcorp Incorporated,Expansion,Yes,Surface,Extension,GG-US,16.62,14.73,>100,14190.35,12576.65,FALSE,580,-11,decrease
Cerro Negro,839383,Argentina,MDD-16089,2/15/2017,Goldcorp Incorporated,Operating,Yes,Underground,Extension,GG-US,16.62,14.73,>100,14190.35,12576.65,FALSE,580,-11,decrease
Musselwhite,838955,Canada,16-PQE-067,2/15/2017,Goldcorp Incorporated,Expansion,Yes,Underground,Extension,GG-US,16.62,14.73,>100,14190.35,12576.65,FALSE,580,-11,decrease
Porcupine,838995,Canada,22677,2/15/2017,Goldcorp Incorporated,Expansion,Yes,Underground,Extension,GG-US,16.62,14.73,>100,14190.35,12576.65,FALSE,580,-11,decrease
Eleonore,839065,Canada,EST-16-01359,2/15/2017,Goldcorp Incorporated,Operating,No,Underground,Infill,GG-US,16.62,14.73,>100,14190.35,12576.65,FALSE,580,-11,decrease
Coffee,839194,Canada,CFR1230,2/15/2017,Goldcorp Incorporated,Feasibility Complete,Yes,Surface,Exploration,GG-US,16.62,14.73,>100,14190.35,12576.65,FALSE,580,-11,decrease
Borden Lake,839019,Canada,BL16-1000,2/15/2017,Goldcorp Incorporated,Prefeas/Scoping,No,Surface,Extension,GG-US,16.62,14.73,>100,14190.35,12576.65,FALSE,580,-11,decrease
Kiaka,825563,Burkina Faso,NKDD014,2/13/2017,B2Gold Corporation,Feasibility,Yes,Surface,Exploration,BTO-TSX,3.4,3,>100,3278.9,2908.29,FALSE,595,-11,decrease
Fekola,825583,Mali,MSR_101,2/13/2017,B2Gold Corporation,Construction Started,Yes,Surface,Exploration,BTO-TSX,3.4,3,>100,3278.9,2908.29,FALSE,595,-11,decrease
Mulatos,788754,Mexico,16YAQ196,1/6/2017,Alamos Gold Inc.,Operating,No,Surface,Infill,AGI-TSX,8.61,7.57,>100,2299.11,2023.55,FALSE,599,-12,decrease
3 Aces,860262,Canada,3A16-082,3/16/2017,Golden Predator Mining Corp.,Target Outline,No,Surface,Infill,GPY-TVX,1.2,1.05,>100,109.19,95.63,FALSE,608,-12,decrease
Turmalina,812432,Brazil,FTS-1324,2/8/2017,Jaguar Mining Inc.,Operating,Yes,Underground,Extension,JAG-TSX,0.55,0.48,>100,168.08,146.49,FALSE,611,-12,decrease
Triumph,849210,Australia,TDH106,3/1/2017,Metal Bank Limited,Target Outline,No,Surface,Extension,MBK-ASX,0.02,0.02,>10 - 100,12.6,14.84,FALSE,123,17,increase
Castle Mountain,846925,USA,CMM-129,2/22/2017,NewCastle Gold Ltd.,Prefeas/Scoping,Yes,In Pit,Extension,NCA-TSX,0.59,0.51,>100,108.91,92.81,FALSE,639,-14,decrease
Cariboo,815024,Canada,IM-17-004,2/10/2017,Barkerville Gold Mines Ltd.,Prefeas/Scoping,No,Surface,Infill,BGM-TVX,0.37,0.32,>100,121.41,103.55,FALSE,640,-14,decrease
Magino,792571,Canada,MA16-RC-240,1/11/2017,Argonaut Gold Inc.,Prefeas/Scoping,Yes,In Pit,Extension,AR-TSX,2.2,1.87,>100,348.57,295.23,FALSE,645,-15,decrease
Kupol,843181,Russia,KP16-1227,2/15/2017,Kinross Gold Corporation,Operating,Yes,Surface,Extension,K-TSX,3.94,3.27,>100,4906.17,4076.15,FALSE,656,-16,decrease
Dvoinoye,843242,Russia,Z1-16-26,2/15/2017,Kinross Gold Corporation,Satellite,Yes,Surface,Infill,K-TSX,3.94,3.27,>100,4906.17,4076.15,FALSE,656,-16,decrease
Bald Mountain,842757,USA,T16-002,2/15/2017,Kinross Gold Corporation,Operating,Yes,Surface,Condemnation,K-TSX,3.94,3.27,>100,4906.17,4076.15,FALSE,656,-16,decrease
Kettle River-Buckhorn,843081,USA,K5-16-14,2/15/2017,Kinross Gold Corporation,Operating,Yes,Underground,Extension,K-TSX,3.94,3.27,>100,4906.17,4076.15,FALSE,656,-16,decrease
Tasiast,843279,Mauritania,TA14718RC,2/15/2017,Kinross Gold Corporation,Expansion,Yes,Surface,Definition,K-TSX,3.94,3.27,>100,4906.17,4076.15,FALSE,656,-16,decrease
Chirano,843292,Ghana,CHRC2446D,2/15/2017,Kinross Gold Corporation,Operating,Yes,Underground,Extension,K-TSX,3.94,3.27,>100,4906.17,4076.15,FALSE,656,-16,decrease
Fort Knox,842930,USA,FFC16-1519,2/15/2017,Kinross Gold Corporation,Operating,Yes,In Pit,Definition,K-TSX,3.94,3.27,>100,4906.17,4076.15,FALSE,656,-16,decrease
3 Aces,839140,Canada,3A16-068,2/16/2017,Golden Predator Mining Corp.,Advanced Exploration,Yes,Surface,Extension,GPY-TVX,1.41,1.17,>100,113.14,94.33,FALSE,663,-16,decrease
Tireo,868855,Dominican Republic,TIR-16-12,3/30/2017,GoldQuest Mining Corporation,Prefeas/Scoping,No,Surface,Extension,GQC-TVX,0.4,0.33,>100,100.52,83.09,FALSE,667,-17,decrease
East Kundana,807089,Australia,KWRB16056,1/31/2017,Rand Mining Limited,Operating,No,Surface,Exploration,RND-ASX,1.32,1.54,>10 - 100,79.57,92.4,FALSE,134,16,increase
Sabodala,848319,Senegal,MDD17-242,2/27/2017,Teranga Gold Corporation,Operating,Yes,Surface,Extension,TGZ-TSX,3.82,3.07,>100,409.64,329.22,FALSE,693,-19,decrease
Saramacca,835136,Suriname,SMDD16-053,2/13/2017,IAMGOLD Corporation,Exploration,Yes,Surface,Exploration,IMG-TSX,4.85,3.79,>100,2200.64,1747.76,FALSE,703,-21,decrease
El Limon-Guajes,825079,Mexico,SST-15,2/13/2017,Torex Gold Resources Inc.,Operating,Yes,In Pit,Extension,TXG-TSX,24.17,18.85,>100,1925.58,1503.24,FALSE,704,-22,decrease
Horse Well,794721,Australia,HWAC1144,1/16/2017,Alloy Resources Limited,Reserves Development,No,Surface,Extension,AYR-ASX,0.01,0.01,<10,5.8,6.69,FALSE,139,15,increase
Beta Hunt,796798,Australia,WF16-016,1/18/2017,RNC Minerals,Operating,Yes,Surface,Extension,RNX-TSX,0.21,0.25,>10 - 100,59.18,68.23,FALSE,141,15,increase
Canadian Malartic,874765,Canada,ODY14-2492,2/16/2017,Yamana Gold Inc.,Operating,Yes,Underground,Extension,YRI-TSX,3.35,2.49,>100,3172.22,2358.49,FALSE,721,-25,decrease
Minera Florida,835573,Chile,CLDFDH0018,2/14/2017,Yamana Gold Inc.,Operating,Yes,Surface,Exploration,YRI-TSX,3.49,2.53,>100,3304.61,2398.05,FALSE,730,-27,decrease
Gualcamayo,835634,Argentina,16QDR-1012,2/14/2017,Yamana Gold Inc.,Operating,Yes,In Pit,Exploration,YRI-TSX,3.49,2.53,>100,3304.61,2398.05,FALSE,730,-27,decrease
El Penon,835504,Chile,UER0121,2/14/2017,Yamana Gold Inc.,Operating,No,Surface,Infill,YRI-TSX,3.49,2.53,>100,3304.61,2398.05,FALSE,730,-27,decrease
Turner River Gold,791576,Australia,BGRC149,1/11/2017,De Grey Mining Limited,Reserves Development,Yes,Surface,Extension,DEG-ASX,0.03,0.04,<10,5.88,6.71,FALSE,145,14,increase
Barsele,813503,Sweden,SKI16013,2/9/2017,Barsele Minerals Corp.,Reserves Development,Yes,Surface,Exploration,BME-TVX,1.12,0.67,>100,119.84,71.92,FALSE,752,-39,decrease
Dalgaranga,789770,Australia,DGRC237,1/10/2017,Gascoyne Resources Limited,Feasibility Complete,No,Surface,Extension,GCY-ASX,0.39,0.44,>10 - 100,99.71,113.27,FALSE,150,13,increase
Nullagine,802883,Australia,FMX1314,1/25/2017,Millennium Minerals Limited,Operating,Yes,Surface,Extension,MOY-ASX,0.22,0.25,>100,171.83,194.3,FALSE,155,13,increase
3 Aces,799903,Canada,3A16-032,1/19/2017,Golden Predator Mining Corp.,Advanced Exploration,Yes,Surface,Extension,GPY-TVX,0.58,1.22,>10 - 100,44.58,93.26,FALSE,7,109,increase
Feysville,807085,Australia,FVA067,1/31/2017,Anglo Australian Resources NL,Target Outline,Yes,Surface,Exploration,AAR-ASX,0.01,0.02,<10,3.07,3.46,FALSE,157,12,increase
Juma East,848837,Brazil,JED-006,2/28/2017,BBX Minerals Limited,Target Outline,Yes,Surface,Metallurgical,BBX-ASX,0.04,0.06,>10 - 100,11.82,19.58,FALSE,15,65,increase
Dandoko,850568,Mali,RCDK017-098,3/3/2017,Oklo Resources Limited,Target Outline,Yes,Surface,Extension,OKU-ASX,0.15,0.24,>10 - 100,36.58,59.04,FALSE,19,61,increase
Orenada,873533,Canada,OAX-17-090,3/29/2017,Alexandria Minerals Corporation,Prefeas/Scoping,Yes,Surface,Extension,AZX-TVX,0.04,0.06,>10 - 100,17.89,30.17,FALSE,23,54,increase
Valentine Lake,805234,Canada,MA-17-159,1/25/2017,Marathon Gold Corporation,Reserves Development,No,Surface,Infill,MOZ-TSX,0.58,0.84,>10 - 100,68.17,99.33,FALSE,29,45,increase
Leonora,795032,Australia,MT16RC034,1/17/2017,Kin Mining NL,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.14,0.16,>10 - 100,16.25,18.34,FALSE,158,12,increase
Gladiator,807299,Canada,BA-17-01,1/31/2017,Bonterra Resources Inc.,Reserves Development,Yes,Surface,Extension,BTR-TVX,0.19,0.26,>10 - 100,16.97,24.03,FALSE,32,40,increase
Boorara,849466,Australia,BORC173,3/1/2017,MacPhersons Resources Limited,Feasibility Started,No,Surface,Extension,MRP-ASX,0.18,0.21,>10 - 100,58.54,66.08,FALSE,161,12,increase
Valentine Lake,788838,Canada,MA-15-109 Ext,1/9/2017,Marathon Gold Corporation,Reserves Development,Yes,Surface,Extension,MOZ-TSX,0.43,0.6,>10 - 100,50.93,71.07,FALSE,38,39,increase
Biricu,792203,Mexico,GV2015-014,1/10/2017,Minaurum Gold Inc.,Target Outline,No,Surface,Exploration,MGG-TVX,0.08,0.1,>10 - 100,14.86,20.24,FALSE,43,36,increase
Gold Springs,791654,USA,E-16-005,1/11/2017,TriMetals Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,TMI-TSX,0.16,0.22,>10 - 100,44.28,54.23,FALSE,46,35,increase
Moss,806456,USA,WW-16,1/30/2017,Northern Vertex Mining Corp.,Construction Planned,No,In Pit,Extension,NEE-TVX,0.34,0.46,>10 - 100,34.15,46.1,FALSE,47,34,increase
Jaurdi,865157,Australia,GC02,3/10/2017,Beacon Minerals Limited,Reserves Development,Yes,Surface,Extension,BCN-ASX,0.01,0.02,>10 - 100,22.5,25.25,FALSE,169,12,increase
May Mac,795671,Canada,MU16-01,1/17/2017,Golden Dawn Minerals Inc.,Target Outline,No,Underground,Extension,GOM-TVX,0.18,0.24,>10 - 100,16.96,23,FALSE,54,32,increase
Tireo,791025,Dominican Republic,TIR-16-09,1/10/2017,GoldQuest Mining Corporation,Prefeas/Scoping,Yes,Surface,Extension,GQC-TVX,0.23,0.31,>10 - 100,50.61,65.91,FALSE,60,30,increase
Valentine Lake,795099,Canada,MA-16-154,1/16/2017,Marathon Gold Corporation,Reserves Development,Yes,Surface,Extension,MOZ-TSX,0.5,0.65,>10 - 100,59.34,77.18,FALSE,61,30,increase
Dandoko,858918,Mali,M3T7905DB,3/15/2017,Oklo Resources Limited,Target Outline,No,Surface,Infill,OKU-ASX,0.15,0.2,>10 - 100,36.57,47.41,FALSE,63,29,increase
Clarence Stream,793132,Canada,CS16-343,1/12/2017,Galway Metals Inc.,Reserves Development,Yes,Surface,Extension,GWM-TVX,0.25,0.32,>10 - 100,14.67,18.96,FALSE,68,28,increase
Coolgardie,788789,Australia,PGCL0056,1/9/2017,Primary Gold Limited,Feasibility Started,No,Surface,Infill,PGO-ASX,0.05,0.06,>10 - 100,23.5,26.3,FALSE,176,11,increase
Martiniere,801702,Canada,MDE-16-246B,1/23/2017,Balmoral Resources Ltd.,Target Outline,Yes,Surface,Extension,BAR-TSX,0.56,0.71,>10 - 100,69.67,89.29,FALSE,71,28,increase
North Bullfrog,811809,USA,NB-16-320,2/7/2017,Corvus Gold Inc.,Prefeas/Scoping,No,Surface,Infill,KOR-TSX,0.49,0.63,>10 - 100,45.71,58.53,FALSE,72,28,increase
Martiniere,791929,Canada,MDE-16-236,1/11/2017,Balmoral Resources Ltd.,Target Outline,Yes,Surface,Extension,BAR-TSX,0.54,0.68,>10 - 100,67.48,84.84,FALSE,79,25,increase
Namdini,846861,Ghana,NMDD062,2/21/2017,Cardinal Resources Limited,Reserves Development,Yes,Surface,Extension,CDV-ASX,0.28,0.35,>10 - 100,85.23,106.01,FALSE,87,24,increase
Lake Roe,801765,Australia,BBRC0142,1/24/2017,Breaker Resources NL,Target Outline,Yes,Surface,Extension,BRB-ASX,0.38,0.42,>10 - 100,49.4,55.28,FALSE,186,10,increase
Tuligtic,798045,Mexico,TU-16-486,1/18/2017,Almaden Minerals Limited,Prefeas/Scoping,Yes,Surface,Extension,AMM-TSX,1.02,1.25,>10 - 100,87.71,110.55,FALSE,98,22,increase
Francoeur,797986,Canada,FS-16-35,1/18/2017,Globex Mining Enterprises Inc.,Closed,Yes,Surface,Exploration,GMX-TSX,0.34,0.42,>10 - 100,16.81,20.41,FALSE,100,21,increase
Woodlark Island,807330,Papua New Guinea,BS16DD004,2/2/2017,Geopacific Resources Limited,Feasibility Complete,Yes,Surface,Exploration,GPR-ASX,0.02,0.03,>10 - 100,28.85,34.63,FALSE,106,20,increase
Karouni,801551,Guyana,HRC239,1/23/2017,Troy Resources Limited,Operating,No,Surface,Infill,TRY-ASX,0.11,0.13,>10 - 100,47.98,57.45,FALSE,108,19,increase
Tijirit,800133,Mauritania,T16DD013,1/20/2017,Algold Resources Limited,Reserves Development,No,Surface,Extension,ALG-TVX,0.17,0.2,>10 - 100,21.38,25.54,FALSE,110,19,increase
Yellowknife City,792310,Canada,TSO16-010,1/11/2017,TerraX Minerals Inc.,Reserves Development,Yes,Surface,Extension,TXR-TVX,0.51,0.61,>10 - 100,51.82,62.12,FALSE,112,19,increase
Pahtavaara,791141,Finland,116041,1/10/2017,Rupert Resources Limited,Operating,Yes,Surface,Extension,RUP-TVX,0.63,0.75,>10 - 100,62.22,74.14,FALSE,114,19,increase
Lake Roe,864010,Australia,BBRC0194,3/27/2017,Breaker Resources NL,Target Outline,Yes,Surface,Extension,BRB-ASX,0.38,0.42,>10 - 100,49.49,54.62,FALSE,191,10,increase
La India,805693,Nicaragua,CCDC025,1/27/2017,Condor Gold Plc,Prefeas/Scoping,No,Surface,Extension,CNR-AIMLSE,0.7,0.84,>10 - 100,37.29,44.2,FALSE,118,18,increase
Barsele,796086,Sweden,SKI16010,1/17/2017,Barsele Minerals Corp.,Reserves Development,Yes,Surface,Extension,BME-TVX,0.91,1.08,>10 - 100,97.27,115.27,FALSE,119,18,increase
Baden Powell,849226,Australia,BPRC1602,3/1/2017,Intermin Resources Limited,Exploration,No,Surface,Extension,IRC-ASX,0.08,0.09,>10 - 100,16.78,18.4,FALSE,205,9,increase
Gladiator,861053,Canada,BA-17-05,3/21/2017,Bonterra Resources Inc.,Reserves Development,Yes,Surface,Extension,BTR-TVX,0.27,0.31,>10 - 100,37.77,49.33,FALSE,121,18,increase
Blister Dam,854806,Australia,BDRC1603,3/1/2017,Intermin Resources Limited,Exploration,No,Surface,Extension,IRC-ASX,0.08,0.09,>10 - 100,16.78,18.4,FALSE,205,9,increase
Montalembert,800191,Canada,D109952,1/20/2017,Globex Mining Enterprises Inc.,Exploration,Yes,Surface,Exploration,GMX-TSX,0.35,0.4,>10 - 100,16.86,19.7,FALSE,127,16,increase
Valentine Lake,848910,Canada,MA-17-162,2/28/2017,Marathon Gold Corporation,Reserves Development,Yes,Surface,Extension,MOZ-TSX,0.69,0.8,>10 - 100,81.12,94.57,FALSE,129,16,increase
Barsele,851555,Sweden,CNT16032,3/6/2017,Barsele Minerals Corp.,Reserves Development,Yes,Surface,Extension,BME-TVX,0.64,0.75,>10 - 100,68.39,79.73,FALSE,130,16,increase
Kalana,854778,Mali,KO-SOM-RC253,3/9/2017,Avnel Gold Mining Limited,Limited Production,Yes,In Pit,Infill,AVK-TSX,0.19,0.22,>10 - 100,71.05,82.68,FALSE,131,16,increase
Sanbrado,861231,Burkina Faso,TAN17-DD094,3/22/2017,West African Resources Limited,Feasibility Complete,Yes,Surface,Extension,WAF-ASX,0.17,0.2,>10 - 100,84.01,97.69,FALSE,133,16,increase
Janet Ivy South,859226,Australia,WKRC1607,3/1/2017,Intermin Resources Limited,Exploration,No,Surface,Extension,IRC-ASX,0.08,0.09,>10 - 100,16.78,18.4,FALSE,205,9,increase
Knaften,850809,Sweden,2007-07,3/3/2017,Barsele Minerals Corp.,Exploration,Yes,Surface,Exploration,BME-TVX,0.65,0.75,>10 - 100,69.28,79.96,FALSE,140,15,increase
Mt Porter,850588,Australia,MPRC275,3/3/2017,Ark Mines Limited,Construction Planned,No,Surface,Extension,AHK-ASX,0.14,0.15,<10,6.89,7.51,FALSE,211,9,increase
La Trinidad,849743,Mexico,16TRD27,3/1/2017,Marlin Gold Mining Ltd.,Operating,No,In Pit,Exploration,MLN-TVX,0.44,0.5,>10 - 100,75.94,86.97,FALSE,143,14,increase
Mt Coolon,803280,Australia,KLRD0024,1/25/2017,GBM Resources Limited,Prefeas/Scoping,No,Surface,Infill,GBZ-ASX,0.01,0.01,<10,8.02,8.72,FALSE,219,8,increase
Duketon,800175,Australia,RRLBELAC004,1/23/2017,Regis Resources Limited,Target Outline,Yes,Surface,Extension,RRL-ASX,2.43,2.64,>100,1218.15,1322.35,FALSE,220,8,increase
Orivesi,798219,Finland,KU-1566,1/19/2017,Dragon Mining Limited,Operating,Yes,Surface,Extension,DRA-ASX,0.2,0.22,>10 - 100,17.47,19.72,FALSE,159,12,increase
Jokisivu,798466,Finland,HU/JS-796,1/19/2017,Dragon Mining Limited,Operating,No,Underground,Extension,DRA-ASX,0.2,0.22,>10 - 100,17.47,19.72,FALSE,159,12,increase
Lake Carey,860450,Australia,17LCAC195,3/17/2017,Matsa Resources Limited,Prefeas/Scoping,No,Surface,Extension,MAT-ASX,0.16,0.17,>10 - 100,22.76,24.59,FALSE,226,8,increase
Namoya,868020,Dem. Rep. Congo,NRC196,3/29/2017,Banro Corporation,Operating,Yes,In Pit,Exploration,BAA-TSX,1.23,1.38,>10 - 100,37.42,42,FALSE,170,12,increase
Karlawinda,847069,Australia,KBRC122,2/23/2017,Capricorn Metals Ltd,Feasibility Started,No,Surface,Extension,CMM-ASX,0.09,0.09,>10 - 100,43.02,51.41,FALSE,230,7,increase
Marmato,854914,Colombia,M-1499A,3/13/2017,Gran Colombia Gold Corporation,Operating,Yes,Underground,Extension,GCM-TSX,1,1.12,>10 - 100,20.5,23,FALSE,171,12,increase
Segovia Operations,854891,Colombia,PV-IU-012,3/13/2017,Gran Colombia Gold Corporation,Expansion,No,Underground,Infill,GCM-TSX,1,1.12,>10 - 100,20.5,23,FALSE,171,12,increase
Red Rabbit,811423,Turkey,KRK­-RC10­-16,2/6/2017,Ariana Resources Plc,Construction Started,No,Surface,Extension,AAU-AIMLSE,0.02,0.03,>10 - 100,20.21,22.67,FALSE,173,12,increase
Zinger,796182,Canada,PJX_CS_1.17.2017,1/17/2017,PJX Resources Inc.,Exploration,No,Surface,Exploration,PJX-TVX,0.16,0.18,>10 - 100,12.04,13.49,FALSE,174,12,increase
Leonora,862155,Australia,HE17RC028,3/23/2017,Kin Mining NL,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.16,0.17,>10 - 100,18.57,21.02,FALSE,237,7,increase
Madsen,865484,Canada,PG17-335,3/27/2017,Pure Gold Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,PGM-TVX,0.41,0.46,>10 - 100,78.78,88.08,FALSE,178,11,increase
Goliath,811447,Canada,TL16410,2/6/2017,Treasury Metals Incorporated,Feasibility Started,No,Underground,Infill,TML-TSX,0.49,0.55,>10 - 100,50.74,56.65,FALSE,180,11,increase
Madison,850855,USA,C17-01,3/3/2017,Broadway Gold Mining Ltd.,Target Outline,No,Surface,Exploration,BRD-TVX,1.08,1.2,>10 - 100,35.7,39.83,FALSE,182,11,increase
San Gregorio,794861,Uruguay,SGDD16-079B,1/16/2017,Orosur Mining Inc.,Operating,Yes,Underground,Extension,OMI-TSX,0.19,0.21,>10 - 100,18.66,20.94,FALSE,184,11,increase
Jumbuck,791217,Australia,16CBDH001,1/11/2017,Tyranna Resources Limited,Reserves Development,No,Surface,Extension,TYX-ASX,0.02,0.02,<10,7.65,8.17,FALSE,240,6,increase
Goldstrike,791169,USA,PGS039,1/10/2017,Pilot Gold Inc.,Target Outline,No,Surface,Exploration,LGD-TSX,0.39,0.44,>10 - 100,59.04,65.29,FALSE,189,10,increase
Murchison,863858,Australia,17MORC003,3/27/2017,Musgrave Minerals Limited,Operating,No,Surface,Extension,MGV-ASX,0.06,0.07,>10 - 100,11.39,12.02,FALSE,257,5,increase
Red Rabbit,806479,Turkey,KTP-RC55-16,1/30/2017,Ariana Resources Plc,Construction Started,No,Surface,Extension,AAU-AIMLSE,0.02,0.02,>10 - 100,19.72,21.76,FALSE,195,10,increase
Paso Yobai,799998,Paraguay,DDH-LAT-71,1/19/2017,Latin American Minerals Inc.,Limited Production,No,In Pit,Extension,LAT-TVX,0.15,0.16,>10 - 100,10.23,11.24,FALSE,200,9,increase
San Albino-Murra,851989,Nicaragua,SA16-GEOT-4020,3/7/2017,Golden Reign Resources Ltd.,Prefeas/Scoping,Yes,Surface,Extension,GRR-TVX,0.16,0.18,>10 - 100,30.75,33.68,FALSE,203,9,increase
Mt York,813963,Australia,KMYD013A,2/10/2017,Kairos Minerals Limited,Reserves Development,No,Surface,Exploration,KAI-ASX,0.03,0.03,>10 - 100,10.38,10.91,FALSE,264,5,increase
Tomingley,799707,Australia,WY950D,1/20/2017,Alkane Resources Limited,Operating,Yes,In Pit,Extension,ALK-ASX,0.27,0.28,>100,137.28,142.52,FALSE,273,3,increase
Mt Coolon,861493,Australia,GLD0002,3/22/2017,GBM Resources Limited,Prefeas/Scoping,Yes,Surface,Extension,GBZ-ASX,0.01,0.01,<10,9.42,10.33,FALSE,279,3,increase
Wawa,802559,Canada,SD-16-40,1/24/2017,Red Pine Exploration Inc.,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.1,0.11,>10 - 100,11,23.17,FALSE,208,9,increase
Castelo de Sonhos,788785,Brazil,CSH-16-149,1/6/2017,"TriStar Gold, Inc.",Reserves Development,No,Surface,Extension,TSG-TVX,0.19,0.2,>10 - 100,25.14,27.99,FALSE,212,9,increase
Namdini,811530,Ghana,NMDD051,2/7/2017,Cardinal Resources Limited,Reserves Development,Yes,Surface,Extension,CDV-ASX,0.27,0.3,>10 - 100,83.56,91.12,FALSE,213,9,increase
Grassy Mountain,806815,USA,GM16-02,1/30/2017,Paramount Gold Nevada Corporation,Prefeas/Scoping,Yes,Surface,Extension,PZG-US,1.78,1.94,>10 - 100,27.93,34.49,FALSE,214,8,increase
Ollachea,834899,Peru,DDH16-T11,2/13/2017,Minera IRL Limited,Construction Planned,Yes,Underground,Extension,MIRL-CNQ,0.13,0.14,>10 - 100,30.06,32.76,FALSE,215,8,increase
Kilgore,814082,USA,15 OKR-309,2/9/2017,Otis Gold Corporation,Reserves Development,Yes,Surface,Extension,OOO-TVX,0.22,0.24,>10 - 100,28.72,34.73,FALSE,217,8,increase
Commonwealth,844914,Australia,CMIPT048,2/22/2017,Impact Minerals Limited,Reserves Development,Yes,Surface,Extension,IPT-ASX,0.02,0.02,>10 - 100,14.52,14.94,FALSE,281,2,increase
Bachelor Lake,809214,Canada,14-175,2/2/2017,Metanor Resources Inc.,Operating,Yes,Underground,Extension,MTO-TVX,0.46,0.49,>10 - 100,20.13,21.63,FALSE,228,7,increase
Amancaya,803193,Chile,AM-082,1/25/2017,Austral Gold Limited,Feasibility Started,No,Surface,Infill,AGD-ASX,0.12,0.13,>10 - 100,61.03,65.56,FALSE,229,7,increase
Polar Bear,815234,Australia,SPBD0358,2/13/2017,S2 Resources Limited,Reserves Development,No,Surface,Extension,S2R-ASX,0.21,0.21,>10 - 100,50.97,52.13,FALSE,292,2,increase
Cheechoo,796734,Canada,CH16-088,1/17/2017,Sirios Resources Inc.,Target Outline,Yes,Surface,Extension,SOI-TVX,0.32,0.35,>10 - 100,35.92,38.51,FALSE,234,7,increase
Croinor,791659,Canada,CR-16-506,1/11/2017,Monarques Gold Corporation,Prefeas/Scoping,No,Surface,Exploration,MQR-TVX,0.33,0.36,>10 - 100,43.39,46.51,FALSE,235,7,increase
Madsen,792177,Canada,PG16-290,1/11/2017,Pure Gold Mining Inc.,Prefeas/Scoping,No,Surface,Extension,PGM-TVX,0.4,0.43,>10 - 100,69.28,74.24,FALSE,236,7,increase
Yamarna,795933,Australia,16SYRC0087,1/17/2017,Gold Road Resources Limited,Construction Planned,Yes,Surface,Extension,GOR-ASX,0.44,0.45,>100,387.57,395.8,FALSE,295,2,increase
Eastmain,799179,Canada,EM16-92,1/19/2017,Eastmain Resources Inc.,Reserves Development,Yes,Surface,Extension,ER-TSX,0.4,0.43,>10 - 100,69.7,74.62,FALSE,239,7,increase
Clarence Stream,807701,Canada,CS 16-346,2/1/2017,Galway Metals Inc.,Reserves Development,Yes,Surface,Extension,GWM-TVX,0.29,0.31,>10 - 100,16.96,18.19,FALSE,241,6,increase
Arakaka,807046,Guyana,XETR007,1/31/2017,Alicanto Minerals Limited,Target Outline,Yes,Surface,Exploration,AQI-ASX,0.15,0.16,>10 - 100,13.32,14.31,FALSE,243,6,increase
Point Rousse,797826,Canada,AE-16-40,1/18/2017,Anaconda Mining Inc.,Operating,Yes,Surface,Extension,ANX-TSX,0.05,0.06,>10 - 100,11.21,11.93,FALSE,244,6,increase
Bombore,796012,Burkina Faso,TYD0041,1/17/2017,Orezone Gold Corporation,Construction Planned,Yes,Surface,Definition,ORE-TVX,0.5,0.53,>10 - 100,77.31,82.1,FALSE,247,6,increase
Karankasso,797709,Burkina Faso,HE-RCD-16-56_RC,1/17/2017,Savary Gold Corp.,Reserves Development,Yes,Surface,Extension,SCA-TVX,0.07,0.07,>10 - 100,11.74,12.41,FALSE,252,5,increase
La Plata,789136,Ecuador,CMLP-16-14,1/9/2017,Toachi Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,TIM-TVX,0.3,0.32,>10 - 100,15.44,16.31,FALSE,253,5,increase
Giro,853390,Dem. Rep. Congo,GRRC204,3/9/2017,Amani Gold Limited,Target Outline,No,Surface,Infill,ANL-ASX,0.02,0.02,>10 - 100,23.71,25.04,FALSE,256,5,increase
Snake Well,867348,Australia,MJAZRC061,3/29/2017,Kalamazoo Resources Limited,Prefeas/Scoping,No,Surface,Exploration,KZR-ASX,0.13,0.13,>10 - 100,10.81,10.99,FALSE,306,1,increase
Kainantu,806305,Papua New Guinea,GCDD0020a,1/27/2017,K92 Mining Inc.,Operating,Yes,Surface,Extension,KNT-TVX,0.74,0.78,>10 - 100,88.43,93.24,FALSE,259,5,increase
